enrolment_id,total_interaction_percent,total_attendance_percent,topic_one_percent,topic_two_percent,topic_three_percent,topic_four_percent,total_assessment_score_percent,gpa
5774863,53,50,1,5,34,30,39,2
6612073,24,58,84,81,41,43,48,3
9221751,29,59,97,36,97,73,54,4
9732470,28,48,84,76,14,49,46,3
8751446,32,34,16,12,9,92,31,2
9742276,13,43,18,47,36,72,31,2
9807124,58,60,91,77,29,43,56,4
7018922,35,37,1,59,94,57,42,2
7495234,30,63,84,64,15,88,47,3
8105071,38,27,13,18,39,20,30,2
9033826,67,48,10,1,11,3,37,2
5449037,52,63,87,22,89,93,59,4
8327030,49,74,63,1,66,59,53,4
8690482,38,67,50,89,87,53,55,4
9420152,12,46,73,43,35,46,35,2
5526382,32,65,62,26,21,12,42,2
8550467,33,48,74,25,67,77,48,3
9831865,94,35,66,99,94,53,68,5
9936506,56,74,68,53,60,52,64,4
7753535,54,35,75,30,96,20,49,3
7762037,58,52,30,20,82,59,53,4
8033072,34,57,67,97,44,7,48,3
9185081,54,44,56,47,78,50,50,4
6390240,47,66,89,56,56,60,60,4
6818570,26,52,62,7,98,45,43,2
7367458,51,47,42,12,70,81,51,4
8224282,86,46,19,5,25,38,51,4
5177487,78,26,66,75,24,32,50,4
5380454,65,56,21,22,81,88,58,4
5861801,22,46,71,32,21,15,36,2
5374336,81,55,75,98,20,42,60,4
5385954,51,66,11,15,17,60,47,3
5438882,48,16,14,99,97,72,46,3
8043690,34,45,30,92,37,72,45,3
8569467,79,51,67,67,34,73,61,4
8772712,48,47,8,17,39,70,39,2
9388311,49,45,77,68,24,54,52,4
5963399,66,57,99,84,10,77,60,4
8090324,48,67,45,50,40,62,53,4
8804221,34,40,60,58,85,10,43,2
9078525,31,69,31,85,10,50,47,3
5095142,58,35,86,29,24,81,50,4
7235315,8,42,51,53,9,48,28,2
9760147,52,45,64,63,7,93,51,4
5873586,16,49,86,30,9,66,38,2
6507298,38,36,42,3,19,30,30,2
8051594,23,59,30,63,46,79,48,3
8437021,81,62,85,11,66,1,61,4
6377856,43,33,53,20,59,57,37,2
6753054,47,37,20,61,20,60,38,2
8271472,77,51,88,5,21,29,54,4
8976752,75,55,40,26,65,14,55,4
6508564,65,34,25,20,23,46,39,2
6601925,39,41,62,96,76,14,48,3
7401328,23,43,65,24,80,72,41,2
6181347,29,63,76,18,19,17,44,2
7001690,42,38,5,3,94,88,41,2
7336074,78,53,2,30,36,93,59,4
7829748,62,34,6,6,28,81,41,2
7210186,25,44,90,22,56,16,38,2
7888306,28,61,6,24,88,41,42,2
8594006,71,41,83,69,60,44,57,4
9086995,47,63,57,91,32,49,55,4
7832868,58,55,49,30,93,81,61,4
8204141,63,69,47,2,78,39,55,4
9147654,24,68,80,61,20,55,49,3
5909297,70,57,65,27,63,35,56,4
6882565,41,40,87,60,54,58,47,3
8170323,19,35,30,49,43,66,32,2
6032191,53,63,89,16,35,69,58,4
7870829,92,53,97,78,86,89,75,6
7987138,47,51,70,30,88,67,55,4
9403049,40,30,41,88,7,94,41,2
6334747,52,43,48,23,67,43,47,3
7880071,26,46,79,97,68,89,53,4
8559196,88,46,99,22,32,13,58,4
9064604,28,56,79,14,33,39,42,2
5745974,8,57,87,64,5,46,38,2
7030888,70,68,36,38,66,46,61,4
7220792,42,32,39,69,95,67,47,3
9103612,47,53,43,7,60,36,46,3
5292356,86,54,11,14,30,98,61,4
5371744,25,32,58,83,37,31,33,2
6550152,49,36,94,76,33,86,52,4
5416229,38,52,81,17,61,4,44,2
5984503,80,29,80,82,64,61,61,4
9618451,83,38,54,14,35,15,52,4
9898575,26,53,2,36,23,52,37,2
7251280,37,50,85,64,57,70,50,4
7278642,30,79,92,57,53,33,55,4
8938676,46,50,2,25,85,52,46,3
6283619,49,52,91,72,58,34,53,4
6395639,63,62,92,15,10,64,55,4
7666559,90,64,57,86,53,67,72,5
5588440,47,46,54,0,67,65,47,3
7253842,85,48,92,36,58,28,64,4
7359224,53,45,61,17,33,65,47,3
7918628,44,50,17,36,31,73,43,2
5191351,92,43,4,73,54,26,57,4
7461790,70,29,20,7,26,21,38,2
9154170,40,35,2,94,56,23,38,2
6937618,73,49,61,43,60,50,56,4
9835981,63,47,71,81,30,78,56,4
9849658,64,32,3,78,85,79,50,4
8697538,33,69,72,96,34,33,54,4
9220735,50,44,21,16,0,88,40,2
9650017,83,65,36,78,33,83,70,5
9759231,49,50,38,67,16,88,51,4
6653249,31,48,97,65,50,73,49,3
6899348,62,76,16,12,74,16,55,4
