enrolment_id,total_interaction_percent,total_attendance_percent,survey_rating_percent,satisfaction_rate_percent,is_satisfied
5774863,53,50,65,61,1
6612073,24,58,98,73,1
9221751,29,59,53,47,0
9732470,28,48,61,42,0
8751446,32,34,66,57,1
9742276,13,43,56,63,1
9807124,58,60,64,34,0
7018922,35,37,57,47,0
7495234,30,63,88,72,1
8105071,38,27,79,71,1
9033826,67,48,79,61,1
5449037,52,63,88,55,1
8327030,49,74,78,58,1
8690482,38,67,60,54,1
9420152,12,46,52,44,0
5526382,32,65,73,45,0
8550467,33,48,54,47,0
9831865,94,35,99,79,1
9936506,56,74,92,62,1
7753535,54,35,63,47,0
7762037,58,52,46,42,0
8033072,34,57,72,64,1
9185081,54,44,81,59,1
6390240,47,66,75,63,1
6818570,26,52,60,52,1
7367458,51,47,93,65,1
8224282,86,46,55,49,0
5177487,78,26,96,70,1
5380454,65,56,81,59,1
5861801,22,46,86,73,1
5374336,81,55,93,57,1
5385954,51,66,87,67,1
5438882,48,16,65,62,1
8043690,34,45,39,37,0
8569467,79,51,71,55,1
8772712,48,47,92,65,1
9388311,49,45,56,44,0
5963399,66,57,96,80,1
8090324,48,67,98,70,1
8804221,34,40,79,67,1
9078525,31,69,90,61,1
5095142,58,35,97,75,1
7235315,8,42,97,59,1
9760147,52,45,47,29,0
5873586,16,49,73,50,1
6507298,38,36,73,63,1
8051594,23,59,81,42,0
8437021,81,62,95,71,1
6377856,43,33,32,39,0
6753054,47,37,82,71,1
8271472,77,51,42,29,0
8976752,75,55,91,66,1
6508564,65,34,48,34,0
6601925,39,41,73,68,1
7401328,23,43,93,66,1
6181347,29,63,53,41,0
7001690,42,38,48,64,1
7336074,78,53,91,65,1
7829748,62,34,63,48,0
7210186,25,44,98,62,1
7888306,28,61,60,58,1
8594006,71,41,58,57,1
9086995,47,63,67,40,0
7832868,58,55,76,52,1
8204141,63,69,95,63,1
9147654,24,68,69,63,1
5909297,70,57,54,62,1
6882565,41,40,82,52,1
8170323,19,35,80,62,1
6032191,53,63,90,78,1
7870829,92,53,80,66,1
7987138,47,51,57,29,0
9403049,40,30,64,62,1
6334747,52,43,59,50,1
7880071,26,46,94,60,1
8559196,88,46,83,62,1
9064604,28,56,92,73,1
5745974,8,57,61,56,1
7030888,70,68,95,69,1
7220792,42,32,53,38,0
9103612,47,53,63,55,1
5292356,86,54,91,71,1
5371744,25,32,85,67,1
6550152,49,36,45,33,0
5416229,38,52,60,53,1
5984503,80,29,71,59,1
9618451,83,38,88,67,1
9898575,26,53,34,28,0
7251280,37,50,82,58,1
7278642,30,79,77,82,1
8938676,46,50,89,67,1
6283619,49,52,78,50,1
6395639,63,62,85,75,1
7666559,90,64,68,62,1
5588440,47,46,95,79,1
7253842,85,48,39,40,0
7359224,53,45,70,60,1
7918628,44,50,80,54,1
5191351,92,43,70,44,0
7461790,70,29,95,61,1
9154170,40,35,37,39,0
6937618,73,49,41,39,0
9835981,63,47,87,65,1
9849658,64,32,95,48,0
8697538,33,69,75,47,0
9220735,50,44,100,54,1
9650017,83,65,89,58,1
9759231,49,50,67,51,1
6653249,31,48,90,60,1
6899348,62,76,78,64,1
7131524,47,61,88,52,1
7463622,53,44,70,44,0
7666813,73,43,61,47,0
8430967,35,50,61,53,1
9012677,65,56,89,55,1
6488799,55,50,93,69,1
7373996,28,29,85,73,1
7437065,51,51,94,76,1
9543154,48,77,53,51,1
6086187,26,53,83,53,1
8997498,50,35,60,55,1
9083456,28,43,96,79,1
9382470,61,43,94,62,1
7164618,61,57,80,64,1
9171697,27,54,78,67,1
9784256,2,44,53,43,0
5486663,52,42,53,48,0
6040634,55,42,78,72,1
6561645,12,38,83,63,1
9338301,40,52,99,75,1
5751115,54,66,100,71,1
6382972,6,50,90,83,1
6783912,49,43,88,66,1
8644471,33,35,82,44,0
6053865,83,63,84,84,1
6632588,64,33,100,66,1
7055921,69,41,51,46,0
8285637,84,49,81,55,1
7079343,97,48,50,50,1
8479407,61,35,86,57,1
8604500,76,51,64,48,0
9261068,83,75,96,60,1
5010698,92,61,52,44,0
7742296,69,26,66,60,1
7759198,37,42,92,59,1
6348228,53,49,66,52,1
7044914,84,58,85,52,1
7113298,76,41,85,67,1
5749841,69,48,71,74,1
8147327,57,45,56,46,0
8291436,66,43,99,89,1
9294801,7,69,76,63,1
5510404,47,47,71,63,1
7490289,56,56,88,68,1
7990095,55,29,70,45,0
9316319,51,18,78,77,1
7509529,77,44,77,75,1
7979200,78,43,81,63,1
8645785,43,68,70,74,1
9966110,41,50,54,49,0
5310753,63,51,67,49,0
6792029,47,46,83,59,1
8148085,33,49,62,57,1
8788875,44,60,76,62,1
5916926,53,52,70,67,1
7607263,60,34,78,44,0
8382734,62,46,95,62,1
5155817,55,64,96,80,1
6990216,17,56,45,37,0
9176807,9,58,38,35,0
6564705,28,75,82,72,1
7369669,29,33,52,43,0
7630744,61,49,55,39,0
5471593,35,72,88,69,1
5982292,89,66,97,71,1
8520229,33,47,70,48,0
5472895,41,35,88,68,1
5856983,36,37,94,67,1
6138417,38,43,95,72,1
8894963,14,47,96,64,1
5480604,74,67,73,62,1
6115344,81,41,91,77,1
8025063,60,51,77,71,1
5428558,82,33,100,70,1
8426874,66,40,72,62,1
